Age,Income,Credit_History,Loan_Amount,Existing_Debt,Employment_Status,Credit_Score
56,34078,0,25704,7654,0,1.0
46,32580,2,35152,16479,1,0.0
32,24855,1,43240,9551,1,1.0
60,46169,2,12206,6140,0,0.0
25,29569,1,28256,18123,1,0.0
38,35738,0,29307,17736,1,0.0
56,16772,1,9716,17926,0,0.0
36,34874,2,40388,14094,0,0.0
40,29731,1,23920,17214,0,0.0
28,20131,2,42871,17989,1,0.0
28,10788,0,47928,12002,1,0.0
41,26184,2,28464,7937,1,0.0
53,40897,0,43085,12850,0,0.0
57,12889,2,18587,6516,0,0.0
41,19569,0,6195,16605,1,0.0
20,31657,2,30083,6493,0,0.0
39,20141,0,27438,4117,1,1.0
19,29656,0,25009,5408,1,1.0
41,31618,0,45636,753,0,1.0
61,21934,2,40587,12501,0,0.0
47,33286,2,26143,1188,1,1.0
55,17612,0,18696,14475,0,0.0
19,42069,1,12564,8600,0,0.0
38,26205,0,8637,10677,0,0.0
50,37331,1,39641,796,0,0.0
29,23934,0,22790,14348,0,0.0
39,20095,2,33159,14836,0,0.0
61,35958,1,10514,5145,1,1.0
42,47008,2,39345,17244,0,0.0
44,28706,1,26763,4171,1,0.0
59,48066,1,17568,8175,1,1.0
45,41472,1,33003,16749,1,0.0
33,44629,1,10311,1514,0,0.0
32,33004,2,46596,15451,1,0.0
64,30431,1,43315,4936,0,0.0
61,48015,0,22191,19318,1,0.0
20,44502,0,25908,15625,1,0.0
54,41385,1,6415,16882,1,0.0
24,14663,2,45276,11433,0,0.0
38,48677,2,23833,1369,1,1.0
26,22818,1,20406,14068,1,0.0
56,32686,2,34336,8890,0,0.0
35,33977,2,34421,8116,1,0.0
21,28454,2,41264,10919,1,0.0
42,23358,1,16780,10685,1,0.0
31,16668,0,44871,5364,1,0.0
26,19921,0,17221,90,1,0.0
43,44959,0,26116,12086,1,0.0
19,42328,0,44790,11389,0,0.0
37,18859,0,45263,16855,1,0.0
45,33970,2,19422,6084,0,0.0
64,18872,2,46474,9457,0,0.0
24,29230,2,26483,1111,0,0.0
61,36708,1,45100,597,0,0.0
25,28847,2,10416,11408,1,0.0
64,37105,0,20251,17738,1,0.0
52,14922,2,32074,7877,0,0.0
31,14392,0,17164,12138,0,0.0
34,23541,2,7468,11427,1,0.0
53,29551,0,48655,10896,1,0.0
57,29381,2,7027,2389,1,0.0
21,45995,0,28555,15360,0,0.0
19,32948,0,16944,4075,0,0.0
23,36728,1,5315,16847,0,0.0
59,12024,2,19133,14797,1,0.0
21,26713,0,41757,17456,0,0.0
46,12486,2,38298,5446,0,0.0
35,11155,0,29268,16857,1,0.0
43,20082,1,48362,4983,1,0.0
61,47245,1,9757,938,1,1.0
